Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
3,male,22.0,1,0,7.25,S
